requirement_id,family,requirement_record_sha256,owner,accountable_owner,required_approvers,verification_methods,primary_design,primary_work_package,supporting_work_packages,phase,supporting_phases,entry_gate,acceptance_gate,supporting_gates,test_target,result_target,approval_status,approval_reference
DOC-001,DOC,eff5e789df7dd5c9de72b1ea94ec9d95b1465d826978d0fbc91da36bd86807c0,CM,CM,"SA, QL, CM",I,requirements/DOCUMENT_REQUIREMENT_ALLOCATION.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-001,NGR-DOC-001,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-002,DOC,952f157dd9ec7a03f448f2af4485c92b7bc2d96981ad5f17ab7ebb3613c30118,QL,QL,"SA, QL, CM",I,requirements/DOCUMENT_REQUIREMENT_ALLOCATION.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-002,NGR-DOC-002,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-003,DOC,6af8e53d73c57639a82f11df494de620a68b2c4de3ef70816d3b19ff1d419e7c,LA,LA,"LA, DA, CM","I,T",SOURCE_AUTHORITY.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-003,NGR-DOC-003,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-004,DOC,223d3482e4e32254d2782f01965c896cefc3fe5c64d5aeaf0002bc42edae0325,DA,DA,"LA, DA, CM","I,T",SOURCE_AUTHORITY.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-004,NGR-DOC-004,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-005,DOC,8e9b4710aafc7916d61e4e9ae7b4c10efa7c562df940d0ee91f080208ca33c38,CM,CM,"LA, DA, CM",T,SOURCE_AUTHORITY.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-005,NGR-DOC-005,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-006,DOC,d70043789af40ccfea2f1e02aa6f0afc35b3531e119547afbe6839fb10d76b72,CM,CM,"SA, QL, CM",I,requirements/DOCUMENT_REQUIREMENT_ALLOCATION.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-006,NGR-DOC-006,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-007,DOC,e6b56ca2cb1e0babb2e66c6e30556a397d5086ec553472183f16586b44c06de3,PO,PO,"PO, MO, SA, LA, DA, GA, SY, SO, RO, AS, QL, CM",I,DOCUMENT_CONTROL.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-007,NGR-DOC-007,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-008,DOC,5f1045d2a7288c89bcf738236efd3c9007cc02388f9d0ce7a3584283dbe7cc75,SO,SO,"LA, DA, CM","I,T",SOURCE_AUTHORITY.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-008,NGR-DOC-008,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-009,DOC,38e28cb111ebf798b3d0ac7142b64ae38655db934713c93180681f34472fc0e9,QL,QL,"SA, QL, CM",I,requirements/DOCUMENT_REQUIREMENT_ALLOCATION.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-009,NGR-DOC-009,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
DOC-010,DOC,4bc317da738b8f29101a62546b9a3d4bb7cbe0d12ba87c7eed2059ea944286ec,QL,QL,"SA, QL, CM",T,requirements/DOCUMENT_REQUIREMENT_ALLOCATION.md,NG-WP-00,NG-WP-08,0,,G0,G0,,NGV-DOC-010,NGR-DOC-010,OUTSIDE_LOCAL_V04_GATE,quality/G0_HUMAN_APPROVAL_LEDGER.json
